state,participation_sat_19,participation_sat_18,participation_sat_17,ebrw_sat_19,ebrw_sat_18,ebrw_sat_17,math_sat_19,math_sat_18,math_sat_17,total_sat_19,total_sat_18,total_sat_17,participation_sat_mean,ebrw_sat_mean,math_sat_mean,total_sat_mean,composite_act_17,english_act_17,math_act_17,reading_act_17,science_act_17,participation_act_17,composite_act_18,english_act_18,math_act_18,reading_act_18,science_act_18,participation_act_18,composite_act_19,english_act_19,math_act_19,reading_act_19,science_act_19,participation_act_19,participation_act_mean,composite_act_mean,english_act_mean,math_act_mean,reading_act_mean,science_act_mean,pop_17,pop_18,pop_19,pop_mean,income_17,income_18,income_19,income_mean
Alabama,7.0,6.0,5.0,583,595,593,560,571,572,1143,1166,1165,6.0,590.33,567.67,1158.0,19.2,18.9,18.4,19.7,19.4,100.0,19.1,18.9,18.3,19.6,19.0,100.0,18.9,18.7,18.1,19.5,18.8,100.0,100.0,19.07,18.83,18.27,19.43,19.07,4874486.0,4887681.0,4903185.0,4888450.67,51113.0,49936.0,56200.0,52416.33
Alaska,41.0,43.0,38.0,556,562,547,541,544,533,1097,1106,1080,40.67,555.0,539.33,1094.33,19.8,18.7,19.8,20.4,19.9,65.0,20.8,19.8,20.6,21.6,20.7,33.0,20.1,18.9,19.9,20.9,20.2,38.0,45.33,20.23,19.13,20.1,20.77,20.27,739700.0,735139.0,731545.0,735461.33,72231.0,68734.0,78394.0,73119.67
Arizona,31.0,29.0,30.0,569,577,563,565,572,553,1134,1149,1116,30.0,569.67,563.33,1133.0,19.7,18.6,19.8,20.1,19.8,62.0,19.2,18.2,19.4,19.5,19.2,66.0,19.0,17.9,19.2,19.3,19.0,73.0,67.0,19.3,18.23,19.47,19.5,19.33,7044008.0,7158024.0,7278717.0,7160249.67,61125.0,62283.0,70674.0,64694.0
Arkansas,6.0,5.0,3.0,582,592,614,559,576,594,1141,1169,1208,4.67,596.0,576.33,1172.67,19.4,18.9,19.0,19.7,19.5,100.0,19.4,19.1,18.9,19.7,19.4,100.0,19.3,19.0,18.7,19.6,19.2,100.0,100.0,19.37,19.0,18.87,19.57,19.37,3001345.0,3009733.0,3017804.0,3009627.33,48829.0,49781.0,54539.0,51049.67
California,63.0,60.0,53.0,534,540,531,531,536,524,1065,1076,1055,58.67,535.0,530.33,1065.33,22.8,22.5,22.7,23.1,22.2,31.0,22.7,22.5,22.5,23.0,22.1,27.0,22.6,22.4,22.3,23.0,22.2,23.0,27.0,22.7,22.47,22.5,22.93,22.17,39358497.0,39461588.0,39512223.0,39444102.67,69759.0,70489.0,78105.0,72784.33
Colorado,100.0,100.0,11.0,518,519,606,506,506,595,1024,1025,1201,70.33,547.67,535.67,1083.33,20.8,20.1,20.3,21.2,20.9,100.0,23.9,23.9,23.2,24.4,23.5,30.0,23.8,23.8,23.3,24.3,23.4,27.0,52.33,22.83,22.6,22.27,23.17,22.6,5611885.0,5691287.0,5758736.0,5687302.67,74172.0,73034.0,72499.0,73235.0
Connecticut,100.0,100.0,100.0,529,535,530,516,519,512,1046,1053,1041,100.0,531.33,515.67,1046.67,25.2,25.5,24.6,25.6,24.6,31.0,25.6,26.0,24.8,26.1,24.9,26.0,25.5,25.9,24.7,26.1,24.8,22.0,26.33,25.43,25.8,24.7,25.8,24.77,3573297.0,3571520.0,3565287.0,3570034.67,72780.0,72812.0,87291.0,77627.67
Delaware,100.0,100.0,100.0,499,505,503,486,492,492,985,998,996,100.0,502.33,490.0,993.0,24.1,24.1,23.4,24.8,23.6,18.0,23.8,23.7,23.1,24.5,23.4,17.0,24.0,23.9,23.1,24.7,23.5,13.0,16.0,23.97,23.9,23.2,24.43,23.5,956823.0,965479.0,973764.0,965355.33,62318.0,65012.0,74194.0,67174.67
Florida,100.0,56.0,83.0,516,550,520,483,549,497,999,1099,1017,79.67,528.67,509.67,1038.33,19.8,19.0,19.4,21.0,19.4,73.0,19.9,19.2,19.3,21.1,19.5,66.0,20.1,19.5,19.5,21.2,19.7,54.0,64.33,19.93,19.23,19.4,20.7,19.53,20963613.0,21244317.0,21477737.0,21228555.67,53681.0,54644.0,58368.0,55564.33
Georgia,71.0,70.0,61.0,538,542,535,519,522,515,1058,1064,1050,67.33,538.33,518.67,1057.33,21.4,21.0,20.9,22.0,21.3,55.0,21.4,20.9,20.7,22.1,21.2,53.0,21.4,20.9,20.7,22.2,21.2,49.0,52.33,21.4,20.93,20.77,21.9,21.23,10410330.0,10511131.0,10617423.0,10512961.33,57016.0,55821.0,56628.0,56488.33
Hawaii,54.0,56.0,55.0,550,480,544,550,530,541,1100,1010,1085,55.0,524.67,540.33,1065.0,19.0,17.8,19.2,19.2,19.3,90.0,18.9,18.2,19.0,19.1,19.0,89.0,19.0,17.9,19.2,19.2,19.2,80.0,86.33,18.97,17.97,19.13,19.1,19.17,1424393.0,1420593.0,1415872.0,1420286.0,73575.0,80108.0,88006.0,80563.0
Idaho,100.0,100.0,93.0,505,508,513,488,493,493,993,1001,1005,97.67,508.67,491.33,999.67,22.3,21.9,21.8,23.0,22.1,38.0,22.3,21.9,21.6,23.2,22.1,36.0,22.5,21.9,21.9,23.4,22.2,31.0,35.0,22.37,21.9,21.77,22.97,22.13,1717715.0,1750536.0,1787065.0,1751772.0,60208.0,58728.0,65988.0,61641.33
Illinois,100.0,99.0,9.0,509,513,559,504,506,556,1013,1019,1115,69.33,527.0,522.0,1049.0,21.4,21.0,21.2,21.6,21.3,93.0,23.9,24.1,23.4,24.2,23.4,43.0,24.3,24.5,23.8,24.7,23.7,35.0,57.0,23.2,23.2,22.8,23.43,22.8,12778828.0,12723071.0,12671821.0,12724573.33,64609.0,70145.0,74399.0,69717.67
Indiana,66.0,63.0,63.0,543,542,542,537,532,532,1080,1074,1074,64.0,542.33,533.67,1076.0,22.6,22.0,22.4,23.2,22.3,35.0,22.5,21.9,22.3,23.1,22.2,32.0,22.5,21.7,22.3,23.1,22.2,29.0,32.0,22.53,21.87,22.33,22.93,22.23,6658078.0,6695497.0,6732219.0,6695264.67,58873.0,59892.0,66693.0,61819.33
Iowa,3.0,3.0,2.0,622,634,641,622,631,635,1244,1265,1275,2.67,632.33,629.33,1261.33,21.9,21.2,21.3,22.6,22.1,67.0,21.8,21.0,21.2,22.5,22.0,68.0,21.6,20.8,21.0,22.3,21.8,66.0,67.0,21.77,21.0,21.17,22.23,21.97,3141550.0,3148618.0,3155070.0,3148412.67,63481.0,68718.0,66054.0,66084.33
Kansas,4.0,4.0,4.0,618,633,632,623,631,628,1241,1265,1260,4.0,627.67,627.33,1255.33,21.7,21.1,21.3,22.3,21.7,73.0,21.6,21.0,21.1,22.3,21.5,71.0,21.2,20.5,20.7,21.8,21.1,72.0,72.0,21.5,20.87,21.03,21.93,21.43,2908718.0,2911359.0,2913314.0,2911130.33,57872.0,63938.0,73151.0,64987.0
Kentucky,4.0,4.0,4.0,620,630,631,612,618,616,1232,1248,1247,4.0,627.0,615.33,1242.33,20.0,19.6,19.4,20.5,20.1,100.0,20.2,19.9,19.7,20.8,20.1,100.0,19.8,19.5,19.2,20.5,19.6,100.0,100.0,20.0,19.67,19.43,20.43,19.93,4452268.0,4461153.0,4467673.0,4460364.67,51348.0,54555.0,55662.0,53855.0
Louisiana,5.0,4.0,4.0,610,615,611,591,595,586,1200,1210,1198,4.33,612.0,590.67,1202.67,19.5,19.4,18.8,19.8,19.6,100.0,19.2,19.0,18.5,19.6,19.1,100.0,18.8,18.7,18.2,19.2,18.8,100.0,100.0,19.17,19.03,18.5,19.43,19.17,4670560.0,4659690.0,4648794.0,4659681.33,43903.0,49973.0,51707.0,48527.67
Maine,99.0,99.0,95.0,512,512,513,502,501,499,1013,1013,1012,97.67,512.33,500.67,1012.67,24.3,24.2,24.0,24.8,23.7,8.0,24.0,23.8,23.6,24.7,23.4,7.0,24.3,24.2,23.8,25.1,23.7,6.0,7.0,24.2,24.07,23.8,24.7,23.6,1334612.0,1339057.0,1344212.0,1339293.67,51664.0,58663.0,66546.0,58957.67
Maryland,82.0,76.0,69.0,535,545,536,523,535,524,1058,1080,1060,75.67,538.67,527.33,1066.0,23.6,23.3,23.1,24.2,23.799999999999997,28.0,22.5,22.1,22.0,23.1,22.2,31.0,22.3,22.0,21.7,23.1,22.1,28.0,29.0,22.8,22.47,22.27,23.27,22.7,6023868.0,6035802.0,6045680.0,6035116.67,81084.0,86223.0,95572.0,87626.33
Massachusetts,81.0,80.0,76.0,559,562,555,561,563,551,1120,1125,1107,79.0,558.67,558.33,1117.33,25.4,25.4,25.3,25.9,24.7,29.0,25.5,25.5,25.2,25.9,24.7,25.0,25.5,25.5,25.2,26.1,24.8,21.0,25.0,25.47,25.47,25.23,25.8,24.73,6859789.0,6882635.0,6892503.0,6878309.0,73227.0,86345.0,87707.0,82426.33
Michigan,100.0,100.0,100.0,507,511,509,496,499,495,1003,1011,1005,100.0,509.0,496.67,1006.33,24.1,24.1,23.7,24.5,23.8,29.0,24.4,24.5,23.9,24.7,23.9,22.0,24.4,24.5,24.0,24.8,24.0,19.0,23.33,24.3,24.37,23.87,24.53,23.9,9973114.0,9984072.0,9986857.0,9981347.67,57700.0,60449.0,64119.0,60756.0
