State,income_17,income_18,income_19,income_mean
Alabama,51113.0,49936.0,56200.0,52416.33
Alaska,72231.0,68734.0,78394.0,73119.67
Arizona,61125.0,62283.0,70674.0,64694.0
Arkansas,48829.0,49781.0,54539.0,51049.67
California,69759.0,70489.0,78105.0,72784.33
Colorado,74172.0,73034.0,72499.0,73235.0
Connecticut,72780.0,72812.0,87291.0,77627.67
Delaware,62318.0,65012.0,74194.0,67174.67
District of Columbia,83382.0,85750.0,93111.0,87414.33
Florida,53681.0,54644.0,58368.0,55564.33
Georgia,57016.0,55821.0,56628.0,56488.33
Hawaii,73575.0,80108.0,88006.0,80563.0
Idaho,60208.0,58728.0,65988.0,61641.33
Illinois,64609.0,70145.0,74399.0,69717.67
Indiana,58873.0,59892.0,66693.0,61819.33
Iowa,63481.0,68718.0,66054.0,66084.33
Kansas,57872.0,63938.0,73151.0,64987.0
Kentucky,51348.0,54555.0,55662.0,53855.0
Louisiana,43903.0,49973.0,51707.0,48527.67
Maine,51664.0,58663.0,66546.0,58957.67
Maryland,81084.0,86223.0,95572.0,87626.33
Massachusetts,73227.0,86345.0,87707.0,82426.33
Michigan,57700.0,60449.0,64119.0,60756.0
Minnesota,71920.0,71817.0,81426.0,75054.33
Mississippi,43441.0,42781.0,44787.0,43669.67
Missouri,56885.0,61726.0,60597.0,59736.0
Montana,59087.0,57679.0,60195.0,58987.0
Nebraska,59619.0,67575.0,73071.0,66755.0
Nevada,56550.0,61864.0,70906.0,63106.67
New Hampshire,74801.0,81346.0,86900.0,81015.67
New Jersey,72997.0,74176.0,87726.0,78299.67
New Mexico,47855.0,48283.0,53113.0,49750.33
New York,62447.0,67274.0,71855.0,67192.0
North Carolina,50343.0,53369.0,61159.0,54957.0
North Dakota,59886.0,66505.0,70031.0,65474.0
Ohio,59768.0,61633.0,64663.0,62021.33
Oklahoma,55006.0,54434.0,59397.0,56279.0
Oregon,64610.0,69165.0,74413.0,69396.0
Pennsylvania,63173.0,64524.0,70582.0,66093.0
Rhode Island,66390.0,62266.0,70151.0,66269.0
South Carolina,54971.0,57444.0,62028.0,58147.67
South Dakota,56894.0,59463.0,64255.0,60204.0
Tennessee,55240.0,56060.0,56627.0,55975.67
Texas,59295.0,59785.0,67444.0,62174.67
Utah,71319.0,77067.0,84523.0,77636.33
Vermont,63805.0,70066.0,74305.0,69392.0
Virginia,71293.0,77151.0,81313.0,76585.67
Washington,75418.0,79726.0,82454.0,79199.33
West Virginia,45392.0,50573.0,53706.0,49890.33
Wisconsin,63451.0,62629.0,67355.0,64478.33
Wyoming,57837.0,62539.0,65134.0,61836.67
